error_path,error_message
/Volumes/AH Old Mac G5 HD/Users/mikekelley/OldDesktop/Old Desktop/Downloads/YouTube - The Original Clapper,[Errno 2] No such file or directory: '/Volumes/AH Old Mac G5 HD/Users/mikekelley/OldDesktop/Old Desktop/Downloads/YouTube - The Original Clapper'
/Volumes/AH Old Mac G5 HD/Users/mikekelley/Documents/Microsoft User Data/`ê∫”,[Errno 2] No such file or directory: '/Volumes/AH Old Mac G5 HD/Users/mikekelley/Documents/Microsoft User Data/`ê∫”'
/Volumes/AH Old Mac G5 HD/Users/mikekelley/Documents/Microsoft User Data/AutoRecovery save of Slidesets,[Errno 2] No such file or directory: '/Volumes/AH Old Mac G5 HD/Users/mikekelley/Documents/Microsoft User Data/AutoRecovery save of Slidesets'
/Volumes/AH Old Mac G5 HD/Users/mikekelley/OldDesktop/Old Desktop/Ahrum:Work/Day is Done/Installation Manuals/DIDRequired Synch Boxes,[Errno 2] No such file or directory: '/Volumes/AH Old Mac G5 HD/Users/mikekelley/OldDesktop/Old Desktop/Ahrum:Work/Day is Done/Installation Manuals/DIDRequired Synch Boxes'
/Volumes/AH Old Mac G5 HD/Users/mikekelley/OldDesktop/Old Desktop/Ahrum:Work/Scans working/DVD - Metro/MK 7801.jpg,[Errno 2] No such file or directory: '/Volumes/AH Old Mac G5 HD/Users/mikekelley/OldDesktop/Old Desktop/Ahrum:Work/Scans working/DVD - Metro/MK 7801.jpg'
